iter	Passed	Remaining
861	1074	172
862	1075	170
863	1076	169
864	1076	168
865	1077	166
866	1078	165
867	1079	164
868	1080	162
869	1080	161
870	1081	160
871	1082	158
872	1083	157
873	1084	156
874	1085	155
875	1086	153
876	1087	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1091	145
882	1091	144
883	1092	143
884	1093	142
885	1094	140
886	1095	139
887	1095	138
888	1096	136
889	1097	135
890	1098	134
891	1099	133
892	1100	131
893	1101	130
894	1102	129
895	1103	128
896	1103	126
897	1104	125
898	1105	124
899	1106	122
900	1107	121
901	1108	120
902	1108	119
903	1109	117
904	1110	116
905	1111	115
906	1112	114
907	1113	112
908	1114	111
909	1115	110
910	1116	109
911	1117	107
912	1118	106
913	1118	105
914	1119	104
915	1120	102
916	1121	101
917	1122	100
918	1122	98
919	1123	97
920	1124	96
921	1125	95
922	1126	93
923	1127	92
924	1128	91
925	1129	90
926	1130	88
927	1130	87
928	1131	86
929	1132	85
930	1133	84
931	1134	82
932	1135	81
933	1136	80
934	1137	79
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1141	72
940	1142	71
941	1143	70
942	1144	69
943	1145	67
944	1145	66
945	1146	65
946	1147	64
947	1148	62
948	1149	61
949	1149	60
950	1150	59
951	1151	58
952	1152	56
953	1152	55
954	1153	54
955	1154	53
956	1155	51
957	1156	50
958	1156	49
959	1158	48
960	1159	47
961	1160	45
962	1160	44
963	1161	43
964	1162	42
965	1163	40
966	1164	39
967	1165	38
968	1165	37
969	1166	36
970	1167	34
971	1168	33
972	1169	32
973	1169	31
974	1170	30
975	1172	28
976	1173	27
977	1174	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1178	19
984	1179	17
985	1180	16
986	1181	15
987	1182	14
988	1183	13
989	1183	11
990	1184	10
991	1185	9
992	1186	8
993	1187	7
994	1188	5
995	1189	4
996	1190	3
997	1190	2
998	1191	1
999	1192	0
